conid,ticker,candidate_date,close_asof,sharesbas,sharefactor,sf1_datekey,staleness_days,computed_market_cap,vendor_marketcap_anchor,relative_diff_pct,boundary_distance_pct,market_cap_bucket,market_cap_reason_code
474515500,APA,2026-03-30,43.74,353251476.0,1.0,2026-02-26,32.0,15451219560.24,10279617952.0,50.31,54.51,UNBUCKETED,MARKET_CAP_SUSPECT
7890,HAL,2026-03-31,38.99,837548345.0,1.0,2026-02-06,53.0,32656009971.550003,29297441108.0,11.46,34.69,Large-low,MARKET_CAP_OK
10880,OXY,2026-03-31,65.0,986266656.0,1.0,2026-02-18,41.0,64107332640.0,46463022164.0,37.97,28.21,UNBUCKETED,MARKET_CAP_SUSPECT
12200,SLB,2026-03-31,51.39,1495331485.0,1.0,2026-01-23,67.0,76845085014.15,73495542488.0,4.56,53.69,Large-high,MARKET_CAP_OK
74866700,LYB,2026-03-31,80.56,322169978.0,1.0,2026-02-20,39.0,25954013427.68,18257372653.0,42.16,48.09,UNBUCKETED,MARKET_CAP_SUSPECT
201113895,LITE,2026-03-31,702.76,71400000.0,1.0,2026-02-04,55.0,50177064000.0,33239556000.0,50.96,0.35,UNBUCKETED,MARKET_CAP_SUSPECT
209411798,HPE,2026-03-31,23.81,1326854089.0,1.0,2026-03-10,21.0,31592395859.09,27996621278.0,12.84,36.82,Large-low,MARKET_CAP_OK
356576040,DOW,2026-03-31,41.65,717534072.0,1.0,2026-02-03,56.0,29885294098.8,21877613855.0,36.6,40.23,UNBUCKETED,MARKET_CAP_SUSPECT
474515500,APA,2026-03-31,42.44,353251476.0,1.0,2026-02-26,33.0,14991992641.439999,10279617952.0,45.84,49.92,UNBUCKETED,MARKET_CAP_SUSPECT
12200,SLB,2026-04-01,50.03,1495331485.0,1.0,2026-01-23,68.0,74811434194.55,73495542488.0,1.79,49.62,Large-high,MARKET_CAP_OK
474515500,APA,2026-04-01,41.35,353251476.0,1.0,2026-02-26,34.0,14606948532.6,10279617952.0,42.1,46.07,UNBUCKETED,MARKET_CAP_SUSPECT
6969,ETR,2026-04-02,114.9,452989837.0,1.0,2026-02-19,42.0,52048532271.3,46807439857.0,11.2,4.1,Large-high,MARKET_CAP_OK
270639,INTC,2026-04-06,50.78,4995000000.0,1.0,2026-01-23,73.0,253646100000.0,225124650000.0,12.67,26.82,Mega,MARKET_CAP_OK
7655,GLW,2026-04-07,148.52,857948109.0,1.0,2026-02-12,54.0,127422453148.68001,112820176334.0,12.94,36.29,Large-high,MARKET_CAP_OK
270639,INTC,2026-04-07,52.91,4995000000.0,1.0,2026-01-23,74.0,264285449999.99997,225124650000.0,17.4,32.14,Mega,MARKET_CAP_OK
47965865,SATS,2026-04-07,124.77,288875859.0,1.0,2026-03-02,36.0,36043040927.43,34283786946.0,5.13,27.91,Large-low,MARKET_CAP_OK
356576040,DOW,2026-04-07,41.41,717534072.0,1.0,2026-02-03,63.0,29713085921.519997,21877613855.0,35.82,40.57,UNBUCKETED,MARKET_CAP_SUSPECT
270639,INTC,2026-04-08,58.95,4995000000.0,1.0,2026-01-23,75.0,294455250000.0,225124650000.0,30.8,47.23,UNBUCKETED,MARKET_CAP_SUSPECT
32106121,MPWR,2026-04-08,1312.94,49118000.0,1.0,2026-02-27,40.0,64488986920.0,56129103320.0,14.89,28.98,Large-high,MARKET_CAP_OK
7655,GLW,2026-04-09,169.8,857948109.0,1.0,2026-02-12,56.0,145679588908.2,112820176334.0,29.13,27.16,UNBUCKETED,MARKET_CAP_SUSPECT
270639,INTC,2026-04-09,61.72,4995000000.0,1.0,2026-01-23,76.0,308291400000.0,225124650000.0,36.94,54.15,UNBUCKETED,MARKET_CAP_SUSPECT
32106121,MPWR,2026-04-09,1334.21,49118000.0,1.0,2026-02-27,41.0,65533726780.0,56129103320.0,16.76,31.07,Large-high,MARKET_CAP_OK
270639,INTC,2026-04-10,62.38,4995000000.0,1.0,2026-01-23,77.0,311588100000.0,225124650000.0,38.41,55.79,UNBUCKETED,MARKET_CAP_SUSPECT
32106121,MPWR,2026-04-10,1353.85,49118000.0,1.0,2026-02-27,42.0,66498404299.99999,56129103320.0,18.47,33.0,Large-high,MARKET_CAP_OK
584127832,COHR,2026-04-10,307.5,187481852.0,1.0,2026-02-04,65.0,57650669490.0,39558670772.0,45.73,15.3,UNBUCKETED,MARKET_CAP_SUSPECT
732440574,LRCX,2026-04-10,263.66,1248771000.0,1.0,2026-01-29,71.0,329250961860.00006,309907499070.0,6.24,64.63,Mega,MARKET_CAP_OK
270639,INTC,2026-04-13,65.18,4995000000.0,1.0,2026-01-23,80.0,325574100000.00006,225124650000.0,44.62,62.79,UNBUCKETED,MARKET_CAP_SUSPECT
32106121,MPWR,2026-04-13,1372.23,49118000.0,1.0,2026-02-27,45.0,67401193140.0,56129103320.0,20.08,34.8,Large-high,MARKET_CAP_OK
313130367,AVGO,2026-04-13,379.75,4734668184.0,1.0,2026-03-11,33.0,1797990242874.0,1617220611609.0,11.18,799.0,Mega,MARKET_CAP_OK
584127832,COHR,2026-04-13,307.93,187481852.0,1.0,2026-02-04,68.0,57731286686.36,39558670772.0,45.94,15.46,UNBUCKETED,MARKET_CAP_SUSPECT
732440574,LRCX,2026-04-13,267.32,1248771000.0,1.0,2026-01-29,74.0,333821463720.0,309907499070.0,7.72,66.91,Mega,MARKET_CAP_OK
9939,MU,2026-04-14,465.66,1127734051.0,1.0,2026-03-19,26.0,525140638188.66003,501018406838.0,4.81,162.57,Mega,MARKET_CAP_OK
270639,INTC,2026-04-14,63.81,4995000000.0,1.0,2026-01-23,81.0,318730950000.0,225124650000.0,41.58,59.37,UNBUCKETED,MARKET_CAP_SUSPECT
32106121,MPWR,2026-04-14,1363.42,49118000.0,1.0,2026-02-27,46.0,66968463560.0,56129103320.0,19.31,33.94,Large-high,MARKET_CAP_OK
402783527,VRT,2026-04-14,310.51,382598464.0,1.0,2026-02-13,60.0,118800649056.64,89730817762.0,32.4,40.6,UNBUCKETED,MARKET_CAP_SUSPECT
584127832,COHR,2026-04-14,313.42,187481852.0,1.0,2026-02-04,69.0,58760562053.840004,39558670772.0,48.54,17.52,UNBUCKETED,MARKET_CAP_SUSPECT
732440574,LRCX,2026-04-14,272.41,1248771000.0,1.0,2026-01-29,75.0,340177708110.00006,309907499070.0,9.77,70.09,Mega,MARKET_CAP_OK
4391,AMD,2026-04-15,258.12,1630410843.0,1.0,2026-02-04,70.0,420841646795.16003,326391946660.0,28.94,110.42,UNBUCKETED,MARKET_CAP_SUSPECT
9939,MU,2026-04-15,456.23,1127734051.0,1.0,2026-03-19,27.0,514506106087.73004,501018406838.0,2.69,157.25,Mega,MARKET_CAP_OK
270639,INTC,2026-04-15,64.94,4995000000.0,1.0,2026-01-23,82.0,324375300000.0,225124650000.0,44.09,62.19,UNBUCKETED,MARKET_CAP_SUSPECT
313130367,AVGO,2026-04-15,396.72,4734668184.0,1.0,2026-03-11,35.0,1878337561956.4802,1617220611609.0,16.15,839.17,Mega,MARKET_CAP_OK
504546674,HOOD,2026-04-15,87.32,900308390.0,1.0,2026-02-20,54.0,78614928614.79999,68522471563.0,14.73,57.23,Large-high,MARKET_CAP_OK
584127832,COHR,2026-04-15,308.2,187481852.0,1.0,2026-02-04,70.0,57781906786.4,39558670772.0,46.07,15.56,UNBUCKETED,MARKET_CAP_SUSPECT
4391,AMD,2026-04-16,278.26,1630410843.0,1.0,2026-02-04,71.0,453678121173.18,326391946660.0,39.0,126.84,UNBUCKETED,MARKET_CAP_SUSPECT
270639,INTC,2026-04-16,68.5,4995000000.0,1.0,2026-01-23,83.0,342157500000.0,225124650000.0,51.99,71.08,UNBUCKETED,MARKET_CAP_SUSPECT
8677881,ON,2026-04-16,79.93,394020530.0,1.0,2026-02-09,66.0,31494060962.9,25650736503.0,22.78,37.01,Large-low,MARKET_CAP_OK
32106121,MPWR,2026-04-16,1402.81,49118000.0,1.0,2026-02-27,48.0,68903221580.0,56129103320.0,22.76,37.81,Large-high,MARKET_CAP_OK
313130367,AVGO,2026-04-16,398.47,4734668184.0,1.0,2026-03-11,36.0,1886623231278.4802,1617220611609.0,16.66,843.31,Mega,MARKET_CAP_OK
584127832,COHR,2026-04-16,328.0,187481852.0,1.0,2026-02-04,71.0,61494047456.0,39558670772.0,55.45,22.99,UNBUCKETED,MARKET_CAP_SUSPECT
740948854,ANET,2026-04-16,161.01,1256537906.0,1.0,2026-02-17,58.0,202315168245.06,179157174637.0,12.93,1.16,Mega,MARKET_CAP_OK
4391,AMD,2026-04-17,278.39,1630410843.0,1.0,2026-02-04,72.0,453890074582.76996,326391946660.0,39.06,126.95,UNBUCKETED,MARKET_CAP_SUSPECT
270639,INTC,2026-04-17,68.5,4995000000.0,1.0,2026-01-23,84.0,342157500000.0,225124650000.0,51.99,71.08,UNBUCKETED,MARKET_CAP_SUSPECT
8677881,ON,2026-04-17,83.01,394020530.0,1.0,2026-02-09,67.0,32707644195.300003,25650736503.0,27.51,34.58,UNBUCKETED,MARKET_CAP_SUSPECT
32106121,MPWR,2026-04-17,1468.35,49118000.0,1.0,2026-02-27,49.0,72122415300.0,56129103320.0,28.49,44.24,UNBUCKETED,MARKET_CAP_SUSPECT
313130367,AVGO,2026-04-17,406.54,4734668184.0,1.0,2026-03-11,37.0,1924832003523.36,1617220611609.0,19.02,862.42,Mega,MARKET_CAP_OK
504546674,HOOD,2026-04-17,90.75,900308390.0,1.0,2026-02-20,56.0,81702986392.5,68522471563.0,19.24,59.15,Large-high,MARKET_CAP_OK
