,group,n,unique_tickers,median_alpha_5d,mean_alpha_5d,win_rate_alpha_5d,n_valid_5d,median_alpha_10d,mean_alpha_10d,win_rate_alpha_10d,n_valid_10d,median_alpha_20d,mean_alpha_20d,win_rate_alpha_20d,n_valid_20d,median_alpha_30d,mean_alpha_30d,win_rate_alpha_30d,n_valid_30d
0,IMS_MISSING,1605,212,0.1697,0.7212,0.5165,1605,0.3525,1.585,0.5196,1605,1.3848,3.5271,0.5576,1605,1.9095,4.8285,0.5595,1605
1,IMS_<70,447,144,0.1232,0.2141,0.5213,447,0.4599,0.79,0.5347,447,0.4383,0.9014,0.5213,447,-0.3811,0.9725,0.4899,447
2,IMS_70_79,907,208,-0.0826,0.3315,0.484,907,0.3721,0.6655,0.5347,907,-0.4203,0.6936,0.4752,907,0.1946,1.3025,0.5105,907
3,IMS_80_89,1201,222,0.2097,0.5086,0.5162,1201,0.2358,0.6564,0.5137,1201,-0.0892,0.5629,0.4979,1201,0.043,1.2344,0.5037,1201
4,IMS_90_94,211,78,0.6889,0.6605,0.5735,211,0.7541,1.8567,0.5592,211,1.2193,2.9594,0.5403,211,0.4591,4.1723,0.5261,211
5,IMS_95plus,9,9,1.6926,-0.5026,0.5556,9,1.1464,0.4835,0.5556,9,4.2477,4.3468,0.7778,9,7.9512,5.8727,0.7778,9
