,group,n,unique_tickers,median_alpha_5d,mean_alpha_5d,win_rate_alpha_5d,n_valid_5d,median_alpha_10d,mean_alpha_10d,win_rate_alpha_10d,n_valid_10d,median_alpha_20d,mean_alpha_20d,win_rate_alpha_20d,n_valid_20d,median_alpha_30d,mean_alpha_30d,win_rate_alpha_30d,n_valid_30d
0,MLE_ONLY,2052,245,0.142,0.6107,0.5175,2052,0.3717,1.4118,0.5229,2052,1.1564,2.9551,0.5497,2052,1.3996,3.9885,0.5443,2052
1,IMS_ONLY,6,5,-0.2534,-0.3816,0.5,6,1.6695,-1.6769,0.6667,6,0.3944,-3.4436,0.5,6,-11.7247,-8.7904,0.3333,6
2,MLE+IMS_70-79,907,208,-0.0826,0.3315,0.484,907,0.3721,0.6655,0.5347,907,-0.4203,0.6936,0.4752,907,0.1946,1.3025,0.5105,907
3,MLE+IMS_80-89,1201,222,0.2097,0.5086,0.5162,1201,0.2358,0.6564,0.5137,1201,-0.0892,0.5629,0.4979,1201,0.043,1.2344,0.5037,1201
4,MLE+IMS_90-94,211,78,0.6889,0.6605,0.5735,211,0.7541,1.8567,0.5592,211,1.2193,2.9594,0.5403,211,0.4591,4.1723,0.5261,211
