,date,ticker,conid,ret_TIME_20,hold_TIME_20,early_TIME_20,gap_TIME_20,gapunres_TIME_20,ret_EMA_20,hold_EMA_20,early_EMA_20,gap_EMA_20,gapunres_EMA_20,rem_EMA_20,ret_EMA_10,hold_EMA_10,early_EMA_10,gap_EMA_10,gapunres_EMA_10,rem_EMA_10,ret_EMA_30,hold_EMA_30,early_EMA_30,gap_EMA_30,gapunres_EMA_30,rem_EMA_30
0,2025-11-13,HSIC,3655640,0.043768748295609505,20,False,False,False,-0.017725661303517826,13,True,False,False,0.0626041088284286,-0.03586037632942474,5,True,False,False,0.08259086409277328,0.043768748295609505,20,False,False,False,
1,2025-11-13,LLY,9160,0.004536255829186597,20,False,False,False,0.0009483121022222374,15,True,False,False,0.003584544460071948,0.02299412437553161,13,True,False,False,-0.01804298588480402,-0.03702327764036484,18,True,False,False,0.043157360406091305
2,2025-11-13,AMGN,266145,-0.05434523809523806,20,False,False,False,-0.020565476190476217,16,True,False,False,-0.03448904554984944,0.009226190476190554,12,True,False,False,-0.06299026835741672,-0.04223214285714283,17,True,False,False,-0.012647214194711154
3,2025-11-14,HSIC,3655640,0.0834383312333753,20,False,False,False,0.008539829203416005,12,True,False,False,0.07426429761243747,-0.010079798404032059,4,True,False,False,0.09447037194173391,0.0834383312333753,20,False,False,False,
4,2025-11-14,LLY,9160,0.03599992197253443,20,False,False,False,-0.001404494382022392,14,True,False,False,0.037457024535083594,0.020589497503121112,12,True,False,False,0.0150995326790202,-0.039286828963795206,17,True,False,False,0.0783654822335027
5,2025-11-14,LITE,201113895,0.44169717854835233,20,False,False,False,0.44169717854835233,20,False,False,False,,0.07473616196424726,5,True,False,False,0.341442885771543,0.44169717854835233,20,False,False,False,
6,2025-11-17,SOLV,691984360,0.05775036093975605,20,False,False,False,0.0528940805880036,16,True,False,False,0.004612316130640837,0.08439427746423434,15,True,False,False,-0.024570321955942886,0.05775036093975605,20,False,False,False,
7,2025-11-17,MRK,70101545,0.058259745853973754,20,False,False,False,0.05589058798190827,16,True,False,False,0.002243753187149311,0.07021322420848586,14,True,False,False,-0.011169249345944876,0.058259745853973754,20,False,False,False,
8,2025-11-17,AMGN,266145,-0.04380907787305022,20,False,False,False,-0.036931901319832594,14,True,False,False,-0.007140903704153767,-0.007638055661233101,10,True,False,False,-0.03644942494839287,-0.05823651634426852,15,True,False,False,0.015319598520866284
9,2025-11-17,LLY,9160,0.03189781736321806,20,False,False,False,0.0020945483018497413,13,True,False,False,0.0297409751523674,0.024165606342370527,11,True,False,False,0.0075497663395101,-0.03592052461583639,16,True,False,False,0.07034517766497461
