conid,ticker,candidate_date,close_candidate,close_datekey,sharesbas,sharefactor,sf1_datekey,staleness_days,computed_market_cap,vendor_marketcap,relative_diff_pct,ratio_candidate,ratio_sharefactor_mult,ratio_sharefactor_div,price_ratio,anchor_adjusted_ratio,cap01_reason
10291,NKE,2025-07-09,73.56,55.58,1475990487.0,1.0,2025-04-03,97,108573860223.72,82035551267.0,32.35,1.3234976610365685,1.3234976610365685,1.3234976610365685,1.3234976610291473,1.0000000000056073,SUSPECT
11520,RCL,2025-07-09,333.57,216.58,271560372.0,1.0,2025-04-29,71,90584393288.04,58814545368.0,54.02,1.540169914113209,1.540169914113209,1.540169914113209,1.5401699141194938,0.9999999999959195,SUSPECT
16454492,WYNN,2025-07-09,110.08,83.52,104554301.0,1.0,2025-05-06,64,11509337454.08,8732375220.0,31.8,1.318007662762801,1.318007662762801,1.318007662762801,1.318007662835249,0.9999999999450322,SUSPECT
32602412,LVS,2025-07-09,49.61,35.89,706627556.0,1.0,2025-04-25,75,35055793053.159996,25360862985.0,38.23,1.3822791863941768,1.3822791863941768,1.3822791863941768,1.3822791864028976,0.999999999993691,SUSPECT
9282,LUV,2025-07-10,37.35,26.49,569865799.0,1.0,2025-04-25,76,21284487592.65,15095745016.0,41.0,1.4099660248692956,1.4099660248692956,1.4099660248692956,1.4099660249150625,0.9999999999675404,SUSPECT
10291,NKE,2025-07-10,74.62,55.58,1475990487.0,1.0,2025-04-03,98,110138410139.94,82035551267.0,34.26,1.3425692695289388,1.3425692695289388,1.3425692695289388,1.3425692695214106,1.0000000000056073,SUSPECT
11520,RCL,2025-07-10,341.36,216.58,271560372.0,1.0,2025-04-29,72,92699848585.92,58814545368.0,57.61,1.5761381475602874,1.5761381475602874,1.5761381475602874,1.5761381475667189,0.9999999999959195,SUSPECT
16454492,WYNN,2025-07-10,111.93,83.52,104554301.0,1.0,2025-05-06,65,11702762910.93,8732375220.0,34.02,1.340158045903346,1.340158045903346,1.340158045903346,1.3401580459770117,0.9999999999450321,SUSPECT
79498203,UAL,2025-07-10,91.67,66.99,326600570.0,1.0,2025-04-16,85,29939474251.9,21878972184.0,36.84,1.3684131960181665,1.3684131960181665,1.3684131960181665,1.368413195999403,1.000000000013712,SUSPECT
120643512,NCLH,2025-07-10,23.15,17.37,446806727.0,1.0,2025-05-05,66,10343575730.05,7761032848.0,33.28,1.3327576280926983,1.3327576280926983,1.3327576280926983,1.3327576280944156,0.9999999999987115,SUSPECT
