,group,n,unique_tickers,median_alpha_5d,mean_alpha_5d,win_rate_alpha_5d,median_fwd_5d,n_valid_5d,median_alpha_10d,mean_alpha_10d,win_rate_alpha_10d,median_fwd_10d,n_valid_10d,median_alpha_20d,mean_alpha_20d,win_rate_alpha_20d,median_fwd_20d,n_valid_20d,median_alpha_30d,mean_alpha_30d,win_rate_alpha_30d,median_fwd_30d,n_valid_30d
0,MLE+IRC_TOP10,1984,229,0.3343,0.9231,0.5338,0.6053,1984,0.8893,1.7543,0.5554,1.2872,1984,1.3518,2.6759,0.5509,2.2636,1984,1.4129,3.9259,0.5509,3.3398,1984
1,MLE_HEADWIND,2396,292,-0.0252,0.1954,0.4958,0.3422,2396,-0.0095,0.5027,0.4992,0.5281,2396,-0.1504,1.1367,0.4946,0.8715,2396,0.1298,1.6663,0.505,1.1871,2396
