date,ticker,industry,breach_day,irc_rank_at_breach,irc_delta_5d,irc_state,reentry_50,post_breach_ret
2025-08-22,UAL,Airlines,2,2,1.0,STRONG,True,0.00048016901949488044
2025-08-22,UNH,Healthcare-Services,5,3,-2.0,STRONG,True,0.10142963178106945
2025-08-25,CNC,Healthcare-Services,3,6,3.0,STRONG,True,0.15398167723749112
2025-08-25,UAL,Airlines,1,2,1.0,STRONG,True,0.0
2025-08-25,UNH,Healthcare-Services,4,3,-2.0,STRONG,True,0.12205118275405824
2025-08-26,RCL,Leisure Time,8,3,-3.0,STRONG,False,-0.06844983763459245
2025-08-26,SATS,Telecommunications,16,17,12.0,WEAKENING,True,0.02639707947205827
2025-08-26,UNH,Healthcare-Services,3,3,-2.0,STRONG,True,0.13534708103398208
2025-08-27,RCL,Leisure Time,7,3,-3.0,STRONG,False,-0.07557112744260253
2025-08-27,SATS,Telecommunications,15,17,12.0,WEAKENING,True,0.02695871946082562
2025-08-27,UNH,Healthcare-Services,2,3,-2.0,STRONG,True,0.1151773324297285
2025-08-28,RCL,Leisure Time,6,3,-3.0,STRONG,False,-0.068848629863841
2025-08-28,UNH,Healthcare-Services,1,3,-2.0,STRONG,True,0.11040113596024126
2025-08-28,WYNN,Lodging,7,11,7.0,WEAKENING,True,0.06156885340357232
2025-08-29,APA,Oil&Gas,5,21,11.0,COLLAPSED,True,0.09344115004492348
2025-08-29,RCL,Leisure Time,5,3,-3.0,STRONG,False,-0.06933287757078554
2025-08-29,WYNN,Lodging,6,11,7.0,WEAKENING,True,0.09004856366779168
2025-09-02,APA,Oil&Gas,4,21,11.0,COLLAPSED,True,0.09074573225516613
2025-09-02,LITE,Computers,16,3,-5.0,STRONG,False,0.06520458265139117
2025-09-02,MPC,Oil&Gas,7,6,-3.0,STRONG,True,0.057210246283802446
2025-09-02,SATS,Telecommunications,12,17,12.0,WEAKENING,True,0.07217073855658529
2025-09-02,VLO,Oil&Gas,7,6,-3.0,STRONG,True,0.08039850244304825
2025-09-02,WYNN,Lodging,5,11,7.0,WEAKENING,True,0.05580706230965515
2025-09-03,APA,Oil&Gas,3,21,11.0,COLLAPSED,True,0.12578616352201255
2025-09-03,SATS,Telecommunications,11,17,12.0,WEAKENING,True,0.11625947767481049
2025-09-03,VLO,Oil&Gas,6,6,-3.0,STRONG,True,0.0639634494574528
2025-09-04,APA,Oil&Gas,2,21,11.0,COLLAPSED,True,0.07277628032344996
2025-09-04,CIEN,Telecommunications,15,18,1.0,WEAKENING,True,0.1129255668149014
2025-09-04,SATS,Telecommunications,10,17,12.0,WEAKENING,True,0.10923897781522052
2025-09-05,AVGO,Semiconductors,10,4,-30.0,STRONG,False,-0.019046790746216735
2025-09-05,CIEN,Telecommunications,14,18,1.0,WEAKENING,True,0.10410439600495747
2025-09-05,LITE,Computers,13,3,-5.0,STRONG,False,0.07240589198036007
2025-09-05,SATS,Telecommunications,9,17,12.0,WEAKENING,True,0.08284189834316202
2025-09-08,AVGO,Semiconductors,9,4,-30.0,STRONG,False,-0.027396068881544555
2025-09-08,LITE,Computers,12,3,-5.0,STRONG,False,0.051391162029459814
2025-09-08,STX,Computers,20,6,3.0,STRONG,False,0.0
2025-09-09,APP,Internet,18,27,17.0,COLLAPSED,False,-0.07456500087878604
2025-09-09,AVGO,Semiconductors,8,4,-30.0,STRONG,False,-0.02472893836609258
2025-09-09,GOOG,Internet,10,8,-7.0,STRONG,False,-0.020646746453198084
2025-09-09,GOOGL,Internet,10,8,-7.0,STRONG,False,-0.023444329651116647
2025-09-09,LITE,Computers,11,3,-5.0,STRONG,False,0.028805237315875587
2025-09-09,MU,Semiconductors,13,2,-2.0,STRONG,True,0.18070833598270486
2025-09-09,STX,Computers,19,6,3.0,STRONG,False,-0.07338467240456292
2025-09-10,APP,Internet,17,27,17.0,COLLAPSED,False,-0.07771398441619304
2025-09-10,CIEN,Telecommunications,11,18,1.0,WEAKENING,True,0.16395713348399799
2025-09-10,GOOGL,Internet,9,8,-7.0,STRONG,False,-0.027974250973535675
2025-09-10,SATS,Telecommunications,6,17,12.0,WEAKENING,True,0.07062622858747547
2025-09-11,CIEN,Telecommunications,10,18,1.0,WEAKENING,True,0.19275351753298842
2025-09-11,CNC,Healthcare-Services,8,14,-10.0,WEAKENING,True,0.15511450381679381
2025-09-11,SATS,Telecommunications,5,17,12.0,WEAKENING,True,0.07413647851727045
2025-09-12,LITE,Computers,8,3,-5.0,STRONG,False,-0.02055646481178386
2025-09-15,CIEN,Telecommunications,8,18,1.0,WEAKENING,True,0.20128307939053736
2025-09-15,TSLA,Auto Manufacturers,11,8,-11.0,STRONG,False,-0.01983270372369139
2025-09-16,CIEN,Telecommunications,7,18,1.0,WEAKENING,True,0.20157468834293213
2025-09-16,LITE,Computers,6,3,-5.0,STRONG,False,0.026382978723404227
2025-09-16,LRCX,Semiconductors,15,3,0.0,STRONG,True,-0.0145350908443177
2025-09-16,MU,Semiconductors,8,2,-2.0,STRONG,True,0.18941946970178658
2025-09-16,STX,Computers,14,6,3.0,STRONG,False,-0.12848494831775326
2025-09-16,TSLA,Auto Manufacturers,10,8,-11.0,STRONG,False,-0.03480841878035623
2025-09-16,WDC,Computers,19,9,3.0,STRONG,False,-0.04820797576981328
2025-09-17,CIEN,Telecommunications,6,18,1.0,WEAKENING,True,0.2299336589633303
2025-09-17,LITE,Computers,5,3,-5.0,STRONG,False,0.025008183306055587
2025-09-17,LRCX,Semiconductors,14,3,0.0,STRONG,True,0.03156394727467049
2025-09-17,MU,Semiconductors,7,2,-2.0,STRONG,True,0.22044890951866214
2025-09-17,STX,Computers,13,6,3.0,STRONG,False,-0.09656961660420882
2025-09-18,AMAT,Semiconductors,13,3,0.0,STRONG,True,0.07638494989601052
2025-09-18,APP,Internet,11,27,17.0,COLLAPSED,False,-0.11289472142480528
2025-09-18,CRWD,Computers,10,3,0.0,STRONG,False,-0.029327697262479857
2025-09-18,INTC,Semiconductors,16,7,-1.0,STRONG,True,0.012922738520759092
2025-09-18,LITE,Computers,4,3,-5.0,STRONG,False,0.06860883797054007
2025-09-18,LRCX,Semiconductors,13,3,0.0,STRONG,True,0.014392589953687196
2025-09-18,MU,Semiconductors,6,2,-2.0,STRONG,True,0.28778533731798817
2025-09-18,TSLA,Auto Manufacturers,8,8,-11.0,STRONG,False,-0.03591023565389462
2025-09-19,APP,Internet,10,27,17.0,COLLAPSED,False,-0.12222450055656464
2025-09-19,CRWD,Computers,9,3,0.0,STRONG,False,-0.024456521739130488
2025-09-19,HOOD,Internet,1,6,-11.0,STRONG,True,0.04019537192729605
2025-09-19,INTC,Semiconductors,15,7,-1.0,STRONG,True,0.017596920538905714
2025-09-19,LRCX,Semiconductors,12,3,0.0,STRONG,True,0.008265051656572764
2025-09-19,MU,Semiconductors,5,2,-2.0,STRONG,True,0.2868315635531251
2025-09-19,TSLA,Auto Manufacturers,7,8,-11.0,STRONG,False,-0.012164957726209846
2025-09-22,AMAT,Semiconductors,11,3,0.0,STRONG,True,0.07832293439213456
2025-09-22,KLAC,Semiconductors,9,8,6.0,STRONG,False,0.04659797557986489
2025-09-22,LRCX,Semiconductors,11,3,0.0,STRONG,True,0.02636266476665483
2025-09-22,MU,Semiconductors,4,2,-2.0,STRONG,True,0.31474534240478147
2025-09-22,STX,Computers,10,6,3.0,STRONG,False,-0.1170777910472347
2025-09-22,VRT,Machinery-Constr&Mining,2,2,-1.0,STRONG,True,0.2408558113260837
2025-09-22,WDC,Computers,15,9,3.0,STRONG,False,0.022463402322059567
2025-09-23,AMAT,Semiconductors,10,3,0.0,STRONG,True,0.06825486859519758
2025-09-23,INTC,Semiconductors,13,7,-1.0,STRONG,True,0.0481165795985703
2025-09-23,KLAC,Semiconductors,8,8,6.0,STRONG,True,0.0416504017066861
2025-09-23,LRCX,Semiconductors,10,3,0.0,STRONG,True,0.033416458852867814
2025-09-23,MU,Semiconductors,3,2,-2.0,STRONG,True,0.28625929929420724
2025-09-23,STX,Computers,9,6,3.0,STRONG,False,-0.11637771280319575
2025-09-23,TER,Semiconductors,10,3,0.0,STRONG,True,0.02276295133438011
2025-09-24,AMAT,Semiconductors,9,3,0.0,STRONG,True,0.04254112308564939
2025-09-24,INTC,Semiconductors,12,7,-1.0,STRONG,True,0.015122353588122195
2025-09-24,KLAC,Semiconductors,7,8,6.0,STRONG,True,0.011592755662475529
2025-09-24,LRCX,Semiconductors,9,3,0.0,STRONG,True,0.006412540078375439
2025-09-24,MU,Semiconductors,2,2,-2.0,STRONG,True,0.26196986074903017
2025-09-24,STX,Computers,8,6,3.0,STRONG,False,-0.1144010212906148
2025-09-24,TSLA,Auto Manufacturers,4,8,-11.0,STRONG,False,-0.012929483720093504
2025-09-24,WDC,Computers,13,9,3.0,STRONG,False,0.013545347467609048
2025-09-25,AAPL,Computers,3,2,1.0,STRONG,True,0.019439971723677507
2025-09-25,AMAT,Semiconductors,8,3,0.0,STRONG,True,0.07993004348648136
2025-09-25,APP,Internet,6,27,17.0,COLLAPSED,False,-0.1362997246470209
2025-09-25,INTC,Semiconductors,11,7,-1.0,STRONG,True,0.04921638713225174
2025-09-25,STX,Computers,7,6,3.0,STRONG,False,-0.06761932215953559
2025-09-25,TER,Semiconductors,8,3,0.0,STRONG,True,0.034965034965035
2025-09-25,TSLA,Auto Manufacturers,3,8,-11.0,STRONG,False,0.009579060982191079
2025-09-25,WDC,Computers,12,9,3.0,STRONG,False,0.05771495877502941
2025-09-26,AMAT,Semiconductors,7,3,0.0,STRONG,True,0.0812535450935905
2025-09-26,APP,Internet,5,27,17.0,COLLAPSED,False,-0.09192102642216882
2025-09-26,HAL,Oil&Gas Services,6,5,3.0,STRONG,True,0.08990147783251246
2025-09-26,IBM,Computers,6,6,3.0,STRONG,True,0.06233155967106607
2025-09-26,INTC,Semiconductors,10,7,-1.0,STRONG,True,0.052515809733296726
2025-09-26,TER,Semiconductors,7,3,0.0,STRONG,True,0.02954188668474389
2025-09-26,VLO,Oil&Gas,2,31,10.0,COLLAPSED,True,0.0046399624104311865
2025-09-29,AMAT,Semiconductors,6,3,0.0,STRONG,True,0.09344866704481003
2025-09-29,HAL,Oil&Gas Services,5,5,3.0,STRONG,True,0.10016420361247946
2025-09-29,INTC,Semiconductors,9,7,-1.0,STRONG,True,0.08715974704426732
2025-09-29,TER,Semiconductors,6,3,0.0,STRONG,True,0.052518909661766866
2025-09-29,WDC,Computers,10,9,3.0,STRONG,True,0.06570755510684845
2025-09-30,AMAT,Semiconductors,5,3,0.0,STRONG,True,0.07600680657969372
2025-09-30,CNC,Healthcare-Services,8,8,-2.0,STRONG,False,-0.07186800894854584
2025-09-30,ES,Electric,4,9,-1.0,STRONG,False,0.029986244841815557
2025-09-30,INTC,Semiconductors,8,7,-1.0,STRONG,True,0.14187517184492715
2025-09-30,TER,Semiconductors,5,3,0.0,STRONG,True,0.030255458826887516
2025-09-30,WDC,Computers,9,9,3.0,STRONG,True,0.05098435133770818
2025-10-01,AMAT,Semiconductors,4,3,0.0,STRONG,True,0.11434108527131781
2025-10-01,INTC,Semiconductors,7,7,-1.0,STRONG,True,0.1366510860599397
2025-10-01,LRCX,Semiconductors,4,3,0.0,STRONG,True,0.14478090488065543
2025-10-01,SMCI,Computers,10,13,10.0,WEAKENING,False,-0.023173896922506487
2025-10-01,STX,Computers,3,6,3.0,STRONG,True,0.09385166577440995
2025-10-01,TER,Semiconductors,4,3,0.0,STRONG,True,0.2411873840445271
2025-10-01,VRT,Machinery-Constr&Mining,3,1,0.0,STRONG,True,0.22401719901719908
2025-10-01,WDC,Computers,8,9,3.0,STRONG,True,0.18946659936059218
2025-10-02,AMAT,Semiconductors,3,3,0.0,STRONG,True,0.09921535261864256
2025-10-02,INTC,Semiconductors,6,7,-1.0,STRONG,True,0.1042067638163322
2025-10-02,LRCX,Semiconductors,3,3,0.0,STRONG,True,0.1472034200213752
2025-10-02,STX,Computers,2,6,3.0,STRONG,True,0.10501173660585583
2025-10-02,TER,Semiconductors,3,3,0.0,STRONG,True,0.26216640502354793
