date,ticker,ret_5,alpha_5,mdd_5,ret_10,alpha_10,mdd_10,ret_15,alpha_15,mdd_15,ret_20,alpha_20,mdd_20,ret_25,alpha_25,mdd_25,ret_30,alpha_30,mdd_30,ret_40,alpha_40,mdd_40,ret_60,alpha_60,mdd_60
2025-07-09,LVS,-0.009877040919169522,-0.010133426523117883,-0.027711797307996944,-0.01854464825640001,-0.03480911000687281,-0.04453681710213776,0.06772828058859104,0.05106321633194888,-0.04453681710213776,0.06268897399717788,0.0487159585819934,-0.04453681710213776,0.0951421084458779,0.061763907631853465,-0.04453681710213776,0.08083047772626473,0.05831661687955125,-0.04453681710213776,0.11086474501108645,0.07070834979267793,-0.04505285045919254,0.1096553114291472,0.03729047471472868,-0.10136891353318318
2025-07-09,NKE,-0.01984774333877115,-0.020104128942719512,-0.035245242562315864,0.043365959760739425,0.027101498010266623,-0.035245242562315864,0.04241435562805873,0.02574929137141657,-0.035245242562315864,0.02610114192495927,0.012128126509774795,-0.0613326602725896,0.04948341489940189,0.01610521408537746,-0.06587582029278141,0.0367047308319739,0.014190869985260424,-0.06587582029278141,0.024333877107123314,-0.01582251811128521,-0.06587582029278141,0.013730288200108687,-0.058634548514309826,-0.12619888944977284
2025-07-09,RCL,0.016967952753545124,0.016711567149596762,-0.008348957112725635,0.057768984021344894,0.04150452227087209,-0.010368466152527836,-0.0072548490571694435,-0.023919913313811603,-0.06147262215168348,-0.058608388044488424,-0.0725814034596729,-0.11756036730529408,-0.06040711095122453,-0.09378531176524896,-0.14567509352681096,-0.013340528224960235,-0.03585438907167371,-0.14567509352681096,0.07941361633240396,0.03925722111399543,-0.14567509352681096,-0.040351350541115716,-0.11271618725553423,-0.14567509352681096
2025-07-09,WYNN,-0.002089389534883801,-0.0023457751388321624,-0.018583042973286987,-0.02216569767441856,-0.038430159424891364,-0.049763244885196165,-0.004996366279069742,-0.0216614305357119,-0.049763244885196165,-0.026071947674418672,-0.04004496308960315,-0.049763244885196165,0.015806686046511587,-0.01757151476751284,-0.049763244885196165,0.01299055232558155,-0.009523308521131923,-0.049763244885196165,0.11636991279069764,0.07621351757228911,-0.049763244885196165,0.2113008720930234,0.13893603537860488,-0.049763244885196165
2025-07-10,LUV,-0.02356091030789831,-0.02710825619010071,-0.03262599469496032,-0.10950468540829994,-0.12324665594295836,-0.11777188328912479,-0.17188755020080326,-0.18189042642719433,-0.18541114058355443,-0.20856760374832672,-0.21884212357830968,-0.21591511936339533,-0.1780455153949131,-0.2086134103167755,-0.22917771883289134,-0.16813922356091038,-0.18368682510768075,-0.22917771883289134,-0.15957161981258372,-0.19379871386518654,-0.22917771883289134,-0.12931726907630514,-0.19865030413430906,-0.22917771883289134
2025-07-10,NCLH,0.019438444924406273,0.01589109904220387,-0.022894168466522574,0.015118790496760237,0.0013768199621018162,-0.03371710526315791,0.10410367170626356,0.09410079547987249,-0.03782894736842112,0.05701943844492452,0.046744918614941566,-0.042644757433489826,0.05226781857451401,0.02169992365265161,-0.07159624413145534,0.009071274298056098,-0.006476327248714275,-0.08607198748043816,0.10842332613390937,0.07419623208130655,-0.08607198748043816,0.05053995680345591,-0.018793078254548012,-0.10207869339272457
2025-07-10,NKE,-0.02197802197802201,-0.025525367860224413,-0.035245242562315864,0.010720986330742477,-0.003020984203915944,-0.035245242562315864,0.0009380863039398779,-0.009064789922451189,-0.057420494699646614,-0.003618332886625719,-0.013892852716608672,-0.06171125694093893,0.02372018225676764,-0.006847712665094763,-0.06587582029278141,0.020905923344947785,0.005358321798177412,-0.06587582029278141,-0.009514875368534015,-0.04374196942113684,-0.0672640080767289,-0.0360493165371214,-0.10538235159512532,-0.12619888944977284
2025-07-10,RCL,0.020945629247715036,0.017398283365512635,-0.008348957112725635,0.023435669088352373,0.009693698553693952,-0.010368466152527836,-0.06881298336067498,-0.07881585958706605,-0.09911007822242368,-0.0925123037262715,-0.10278682355625446,-0.12203831765105999,-0.08513006796344036,-0.11569796288530276,-0.14567509352681096,-0.047838059526599586,-0.06338566107336996,-0.14567509352681096,0.03196039371924053,-0.0022667003333622926,-0.14567509352681096,-0.08000351535036321,-0.14933655040836713,-0.14567509352681096
2025-07-10,UAL,-0.0049089124031853615,-0.008456258285387763,-0.05770699247300105,-0.021162866804843472,-0.03490483733950189,-0.05770699247300105,-0.036653212610450514,-0.04665608883684158,-0.05770699247300105,-0.04025308170611974,-0.050527601536102695,-0.0850373255436548,0.08148794589287656,0.05092005097101415,-0.0850373255436548,0.06021599214574014,0.044668390598969765,-0.0850373255436548,0.16275771790116722,0.1285306238485644,-0.0850373255436548,0.03992582087924079,-0.02940721417876313,-0.14822604242867587
2025-07-10,WYNN,-0.022246046636290595,-0.025793392518492997,-0.02224604663629062,-0.031090860359153094,-0.044832830893811515,-0.049763244885196165,-0.025909050299294245,-0.03591192652568531,-0.049763244885196165,-0.04199052979540785,-0.0522650496253908,-0.049763244885196165,-0.004913785401590376,-0.03548168032345278,-0.049763244885196165,-0.009291521486643473,-0.024839123033413846,-0.049763244885196165,0.08013937282229966,0.045912278769696835,-0.049763244885196165,0.10479764138300718,0.035464606325003256,-0.07259637018149097
