date,ticker,breach_day,worst_rank_after,post_missing_rank,bucket,reentry_50,days_to_reentry_50,reentry_25,days_to_reentry_25,reentry_10,days_to_reentry_10,post_breach_ret,post_reentry50_ret
2025-07-25,FIX,10,412.0,False,D_gt250,False,,False,,False,,-0.003295940788712759,
2025-07-25,GEV,8,488.0,False,D_gt250,False,,False,,False,,-0.0864946204198328,
2025-07-25,TEL,8,342.0,False,D_gt250,False,,False,,False,,0.0247438140464884,
2025-07-28,BKR,7,445.0,False,D_gt250,False,,False,,False,,0.023025558369790478,
2025-07-28,FIX,9,412.0,False,D_gt250,False,,False,,False,,-0.0008384410778304874,
2025-07-28,GEV,7,489.0,False,D_gt250,False,,False,,False,,-0.09365736212474607,
2025-07-28,TEL,7,342.0,False,D_gt250,False,,False,,False,,0.02539365158710316,
2025-07-29,BKR,6,445.0,False,D_gt250,False,,False,,False,,0.02348606953718635,
2025-07-29,DECK,2,460.0,False,D_gt250,True,17.0,True,17.0,False,,0.07082980126212668,0.005839157745731294
2025-07-29,EME,8,440.0,False,D_gt250,False,,False,,False,,0.00100287923392961,
2025-07-29,FIX,8,412.0,False,D_gt250,False,,False,,False,,0.02259454145946571,
2025-07-29,TEL,6,342.0,False,D_gt250,False,,False,,False,,0.034291427143214204,
2025-07-30,BKR,5,445.0,False,D_gt250,False,,False,,False,,0.031084503799217122,
2025-07-30,FIX,7,412.0,False,D_gt250,False,,False,,False,,0.026121776338614566,
2025-07-30,GNRC,11,488.0,False,D_gt250,False,,False,,False,,-0.060210081921897696,
2025-07-30,TEL,5,342.0,False,D_gt250,False,,False,,False,,0.03759060234941258,
2025-07-31,EBAY,10,486.0,False,D_gt250,True,1.0,False,,False,,-0.05767668562144601,-0.0784508440913605
2025-07-31,FIX,6,412.0,False,D_gt250,False,,False,,False,,0.05529374349485372,
2025-07-31,GEV,4,489.0,False,D_gt250,False,,False,,False,,-0.04643743886840701,
2025-07-31,GLW,8,380.0,False,D_gt250,False,,False,,False,,0.048365019011406885,
2025-07-31,GNRC,10,488.0,False,D_gt250,False,,False,,False,,-0.06056189375282717,
2025-07-31,TEL,4,342.0,False,D_gt250,False,,False,,False,,0.03994001499625077,
2025-08-01,DHI,2,209.0,False,C_151-250,True,2.0,True,6.0,False,,0.09461990570302903,0.10130612775359027
2025-08-01,FIX,5,412.0,False,D_gt250,False,,False,,False,,0.016797733317913677,
2025-08-01,GEV,3,489.0,False,D_gt250,False,,False,,False,,-0.07761643217214642,
2025-08-01,GNRC,9,488.0,False,D_gt250,False,,False,,False,,-0.06895511886214001,
2025-08-04,DHI,1,209.0,False,C_151-250,True,2.0,True,6.0,False,,0.09965768907834383,0.10637468321528365
2025-08-04,FIX,4,412.0,False,D_gt250,False,,False,,False,,0.009902278246790797,
2025-08-04,GEV,2,489.0,False,D_gt250,False,,False,,False,,-0.1277104807764653,
2025-08-04,GNRC,8,488.0,False,D_gt250,False,,False,,False,,-0.09780368899834146,
2025-08-04,WSM,9,491.0,False,D_gt250,False,,False,,False,,-0.05545441125818029,
2025-08-05,FIX,3,412.0,False,D_gt250,False,,False,,False,,0.012909101422458713,
2025-08-05,GEV,1,489.0,False,D_gt250,False,,False,,False,,-0.13168309382288768,
2025-08-06,FIX,2,412.0,False,D_gt250,False,,False,,False,,0.04653347981959066,
2025-08-07,ANET,9,475.0,False,D_gt250,True,10.0,False,,False,,0.08655967140792575,0.011900545441666077
2025-08-07,FIX,1,412.0,False,D_gt250,False,,False,,False,,0.021033306349022673,
2025-08-07,GLW,3,380.0,False,D_gt250,True,15.0,True,15.0,False,,0.08273764258555127,0.026680126910873847
2025-08-08,ANET,8,475.0,False,D_gt250,True,10.0,False,,False,,0.06495778504601812,-0.00821704328115036
2025-08-08,APP,8,456.0,False,D_gt250,True,6.0,True,6.0,True,6.0,0.3265434793151947,0.13083204134366921
2025-08-08,EBAY,4,491.0,False,D_gt250,True,1.0,False,,False,,-0.05544272948822104,-0.07626613704071505
2025-08-08,GLW,2,380.0,False,D_gt250,True,15.0,True,15.0,False,,0.09733840304182517,0.04052494952408425
