,date,ticker,conid,ret_TIME_20,hold_TIME_20,early_TIME_20,ret_RANK_50,hold_RANK_50,early_RANK_50,gap_RANK_50,gapunres_RANK_50,rem_RANK_50,ret_RANK_25,hold_RANK_25,early_RANK_25,gap_RANK_25,gapunres_RANK_25,rem_RANK_25,ret_RANK_100,hold_RANK_100,early_RANK_100,gap_RANK_100,gapunres_RANK_100,rem_RANK_100,tloss_50,cov20_50,tloss_25,cov20_25,tloss_100,cov20_100
0,2025-07-09,LVS,32602412,0.06268897399717788,20,False,-0.009473896391856473,6,True,False,False,0.07285307285307274,-0.009473896391856473,6,True,False,False,0.07285307285307274,-0.009877040919169522,7,True,False,False,0.07328990228013033,5.0,True,5.0,True,6.0,True
1,2025-07-09,NKE,10291,0.02610114192495927,20,False,-0.017672648178357786,4,True,False,False,0.0445613063935788,-0.017672648178357786,4,True,False,False,0.0445613063935788,-0.017672648178357786,4,True,False,False,0.0445613063935788,3.0,True,3.0,True,3.0,True
2,2025-07-09,RCL,11520,-0.058608388044488424,20,False,0.04280960518032195,8,True,False,False,-0.09725456374874242,0.021404802590160976,6,True,False,False,-0.07833641513310441,0.05015439038282832,12,True,False,False,-0.10356836996859842,7.0,True,5.0,True,11.0,True
3,2025-07-09,WYNN,16454492,-0.026071947674418672,20,False,-0.004269622093023284,7,True,False,False,-0.021895812425873573,0.00036337209302339524,6,True,False,False,-0.026425717399200965,-0.026162790697674354,8,True,False,False,9.328358208948728e-05,6.0,True,5.0,True,7.0,True
4,2025-07-10,UAL,79498203,-0.04025308170611974,20,False,-0.02334460565070362,11,True,False,False,-0.017312632637104808,-0.02334460565070362,11,True,False,False,-0.017312632637104808,-0.02334460565070362,11,True,False,False,-0.017312632637104808,10.0,True,10.0,True,10.0,True
5,2025-07-10,LUV,9282,-0.20856760374832672,20,False,-0.107095046854083,11,True,False,False,-0.11364317841079463,-0.018741633199464647,6,True,False,False,-0.1934515688949523,-0.107095046854083,11,True,False,False,-0.11364317841079463,10.0,True,5.0,True,10.0,True
6,2025-07-10,NKE,10291,-0.003618332886625719,20,False,-0.03162690967569015,3,True,False,False,0.028923332410738745,-0.03162690967569015,3,True,False,False,0.028923332410738745,-0.03162690967569015,3,True,False,False,0.028923332410738745,2.0,True,2.0,True,2.0,True
7,2025-07-10,NCLH,120643512,0.05701943844492452,20,False,0.020734341252699906,11,True,False,False,0.03554803216250524,0.017710583153347725,8,True,False,False,0.0386247877758914,0.020734341252699906,11,True,False,False,0.03554803216250524,10.0,True,7.0,True,10.0,True
8,2025-07-10,RCL,11520,-0.0925123037262715,20,False,0.019012186547926024,7,True,False,False,-0.10944372574385519,-0.0019041481134287608,5,True,False,False,-0.09078101611341027,0.02618936020623397,11,True,False,False,-0.11567228090208403,6.0,True,4.0,True,10.0,True
9,2025-07-10,WYNN,16454492,-0.04199052979540785,20,False,-0.020727240239435396,6,True,False,False,-0.02171334732232455,-0.0161708210488698,5,True,False,False,-0.026244097348347206,-0.042258554453676433,7,True,False,False,0.0002798507462686839,5.0,True,4.0,True,6.0,True
10,2025-07-11,LUV,9282,-0.20226232157285218,20,False,-0.10180447077834642,10,True,False,False,-0.11184407796101947,-0.01292755184486949,5,True,False,False,-0.19181446111869027,-0.10180447077834642,10,True,False,False,-0.11184407796101947,9.0,True,4.0,True,9.0,True
11,2025-07-11,NCLH,120643512,0.06100795755968158,20,False,0.044650751547303136,10,True,False,False,0.015658061785865485,0.04155614500442084,7,True,False,False,0.018675721561969505,0.044650751547303136,10,True,False,False,0.015658061785865485,9.0,True,6.0,True,9.0,True
12,2025-07-11,WYNN,16454492,-0.042817306827381496,20,False,-0.014032562741746912,5,True,False,False,-0.029194416567831394,-0.009444994153098851,4,True,False,False,-0.033690519433345556,-0.035711073131240445,6,True,False,False,-0.007369402985074713,4.0,True,3.0,True,5.0,True
13,2025-07-11,DAL,44001820,-0.05313327449249772,20,False,-0.032656663724624946,10,True,False,False,-0.02116788321167873,-0.032656663724624946,10,True,False,False,-0.02116788321167873,-0.032656663724624946,10,True,False,False,-0.02116788321167873,9.0,True,9.0,True,9.0,True
14,2025-07-11,NKE,10291,0.02147872779843052,20,False,-0.005094313644499415,2,True,False,False,0.02670910600608911,-0.005094313644499415,2,True,False,False,0.02670910600608911,-0.005094313644499415,2,True,False,False,0.02670910600608911,1.0,True,1.0,True,1.0,True
15,2025-07-14,LUV,9282,-0.2291777188328913,20,False,-0.11538461538461542,9,True,False,False,-0.12863568215892063,-0.02785145888594176,4,True,False,False,-0.20709413369713503,-0.11538461538461542,9,True,False,False,-0.12863568215892063,8.0,True,3.0,True,8.0,True
16,2025-07-14,DAL,44001820,-0.07933230080881082,20,False,-0.05696093615556708,9,True,False,False,-0.02372262773722622,-0.05696093615556708,9,True,False,False,-0.02372262773722622,-0.05696093615556708,9,True,False,False,-0.02372262773722622,8.0,True,8.0,True,8.0,True
17,2025-07-14,LVS,32602412,0.05554449532152117,20,False,-0.021700179175791257,3,True,False,False,0.07895807895807905,-0.021700179175791257,3,True,False,False,0.07895807895807905,-0.02209834760103524,4,True,False,False,0.07939739413680802,2.0,True,2.0,True,3.0,True
18,2025-07-14,TPR,292491487,0.06312161496799606,20,False,0.05297882816346644,12,True,False,False,0.009632469840082258,0.07011324470704094,10,True,False,False,-0.0065335419158921715,0.05297882816346644,12,True,False,False,0.009632469840082258,11.0,True,9.0,True,11.0,True
19,2025-07-14,NCLH,120643512,0.019767941555651092,20,False,0.015470562956596545,9,True,False,False,0.004231908590774491,0.01246239793725823,6,True,False,False,0.007215619694397324,0.015470562956596545,9,True,False,False,0.004231908590774491,8.0,True,5.0,True,8.0,True
20,2025-07-14,WYNN,16454492,-0.0214395099540583,20,False,-0.01261147644356364,4,True,False,False,-0.008940790073898364,-0.008017295739122576,3,True,False,False,-0.013530693788594395,-0.03432123232141249,5,True,False,False,0.013339552238806007,3.0,True,2.0,True,4.0,True
21,2025-07-15,DAL,44001820,0.049003769520732376,20,False,-0.016334589840244162,8,True,False,False,0.06642335766423368,-0.016334589840244162,8,True,False,False,0.06642335766423368,-0.016334589840244162,8,True,False,False,0.06642335766423368,7.0,True,7.0,True,7.0,True
